# 武英殿刻本 同文書局本 標點整理本
⺝	2331:1	973:3	939:2
㐀	163:1	78:1	4:1
㐁	163:3	78:3	4:3
㐄	166:2	79:2	4:30
㐅	172:4	81:18	7:2
㐌	178:4	84:8	9:8
㐖	178:12	84:16	9:16
㐜	179:2	84:22	9:22
㐡	179:9	84:31	10:3
㐤	3707:2	1545:1	10:14
㐨	181:7	85:23	10:39
㐩	3724:6	1554:15	298:37
㐬	189:2	88:15	13:16
㐭	189:6	89:1	14:1
㐯	3783:21	1585:34	15:9
㐰	203:8	92:8	17:8
㐱	204:3	92:11	17:11
㐲	205:4	93:8	18:4
㐳	207:2	94:3	19:1
㐴	207:4	94:5	19:3
㐸	208:2	94:10	19:8
㐹	208:6	94:14	19:12
㐺	211:2	95:22	20:15
㐻	212:8	96:9	21:8
㐼	212:10	96:11	21:10
㑁	212:14	96:15	21:14
㑂	213:4	96:19	21:18
㑃	214:2	97:5	21:27
㑄	216:3	98:2	22:17
㑉	221:1	100:5	24:12
㑊	221:16	100:20	25:8
㑋	222:3	100:26	25:14
㑌	224:4	101:21	26:11
㑍	225:11	102:11	27:1
㑎	226:7	102:19	27:9
㑏	227:2	102:23	27:13
㑐	3708:11	1545:14	47:27
㑗	227:10	103:5	27:21
㑘	228:4	103:12	28:3
㑙	229:1	103:24	28:15
㑚	229:6	103:29	28:20
㑛	230:7	104:12	29:3
㑜	231:8	105:1	29:19
㑝	231:13	105:6	29:24
㑞	232:1	105:7	29:25
㑟	233:4	105:22	30:8
㑣	235:5	106:13	31:7
㑤	235:7	106:15	31:9
㑥	235:8	106:16	31:10
㑦	237:9	107:24	32:13
㑧	3784:11	1586:13	48:46
㑮	244:5	110:10	35:6
㑯	246:2	111:13	36:2
㑰	246:5	111:16	36:5
㑱	3784:13	1586:15	48:48
㑳	248:7	112:10	37:7
㑴	248:9	112:12	37:9
㑵	250:1	113:3	37:26
㑶	250:2	113:4	37:27
㑷	250:4	113:6	37:29
㑸	3784:29	1586:31	48:64
㑻	252:14	114:13	39:2
㑼	252:22	114:21	39:10
㑽	254:3	114:27	39:16
㑾	254:5	114:29	39:18
㑿	255:3	115:13	40:8
㒀	255:5	115:15	40:10
㒁	255:12	115:22	40:17
㒂	262:8	118:23	43:21
㒃	257:1	116:9	41:3
㒄	258:5	116:24	41:17
㒅	259:4	117:6	42:4
㒆	259:9	117:11	42:9
